"ID","Name of the vaccine","Microbe","Disease name","Name of bacteria","Type of vaccine","Nucleic acid content","Age","Description of the vaccine","Name of the manufacturer","Name of the manufacturing country","Year of manufacture","Clinical Phase status","Bacterial strain","Efficacy","Vaccine formulation","Dosage","Mechanism of action","Route of administration","Indications","Export","Approval","Adjuvant","Repurposing","Side effects of vaccine","Post vaccination","Dose type","Interspecies transfer","PubMed identifier","Clinical trial number","Reference","Other Name","Additional Links"
"1001","BCG","Bacteria","Pulmonary Tuberculosis (TB)","Mycobacterium tuberculosis","Live attenuated","DNA","Under 1 year","BCG vaccine (TICE strain) is for the prevention of tuberculosis.","Organon Teknika Corporation LLC","Durham","1921","Approved","Acid-fast Gram-positive bacteria.","Ranges from 0-80%.","Lyophilized (freeze-dried) powder","Adults: 1 mL of sterile water and infants: 2 mL of sterile water for injection.","Th-1 cell mediated and activate antigen-specific CD4+ T-cells.","Percutaneous","Prevention in persons not previously infected with M. tuberculosis and at high risk.","Distributed by - Organon USA Inc. Roseland","WHO and US FDA","NA","For leprosy also.","Cervical lymphadenopathy, induration, pustule formation, ulceration, regional suppurative lymphadenitis with draining sinuses.","Person should be tuberculin skin tested 2-3 months post vaccination.","Single dose","NA","28955344","NA","https://www.fda.gov/media/78331/download","Bacille Calmette-Guerin","https://www.who.int/immunization/policy/schedule.pdf"
"1002","BCG AJV","Bacteria","Pulmonary Tuberculosis (TB)","Mycobacterium tuberculosis","Live attenuated","DNA","Children at higher risk.","BCG (Bacillus Calmette-Guerin) Danish strain 1331.","AJ Vaccines","Denmark","1953","Approved","Acid-fast Gram-positive bacteria.","70-80% effective in children.","Powder and solvent for suspension","Infants under 12 months : 0.05 mL and children 12 months and older, adults: 0.1 mL","Cell-mediated immune response.","Intradermal","Give as soon as possible after birth to prevent increased risk of TB.","Marketing authorisation holder - AJ Vaccines A/S","UK MHRA and EMA","NA","NA","Hardness at the injection site.","No immunisation should be given in the same arm for at least three months.","Single dose","NA","NA","NA","https://vk.ovg.ox.ac.uk/vk/bcg-vaccine","Bacille Calmette-Guerin","https://www.medicines.org.uk/emc/product/9890#gref"
"1003","Vaxelis","Bacteria","Diphtheria","Corynebacterium diphtheriae","Inactivated","DNA","6 weeks to 4 years","Diphtheria, tetanus toxoids, acellular pertussis, inactivated poliovirus, haemophilus b conjugate and hepatitis B vaccine (DTaP vaccine).","Sanofi Pasteur Limited","Canada","2018","Approved","Gram-positive bacillus.","NA","Suspension for injection","3-doses at 2, 4 and 6 months of age.","Serum diphtheria antitoxin level of 1 IU/ml provides long-term protection.","Intramuscular","Prevents diphtheria, tetanus, pertussis, poliomyelitis, hepatitis B, Haemophilus influenzae type b.","Distributed by - Merck Sharp & Dohme Corp and Sanofi Pasteur Inc, USA","US FDA","Aluminium salts","Also for tetanus, pertussis, polio, Hib and hepatitis B.","Irritability,crying ,injection site pain,erythema and swelling, somnolence,decreased appetite, fever and vomiting.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/119465/download","PR5I","NA"
"1004","Boostrix","Bacteria","Diphtheria","Corynebacterium diphtheriae","Inactivated","DNA","10 years and older","Tetanus (reduced), Diphtheria (reduced) and Pertussis vaccine (Tdap vaccine)","GlaxoSmithKline Biologicals and GSK Vaccines GmbH","Belgium and Germany","2005","Approved","Gram-positive bacillus.","NA","Suspension for injection","0.5 ml injection with initial dose 5 years after the Dtap or Td vaccine. And additional dose 9 years after the Tdap vaccine.","Serum diphtheria antitoxin level of greater than or equal to 1 IU/ml provides long-term protection.","Intramuscular","Not indicated in children aged younger than 10 years.","Distributed by - GlaxoSmithKline Research Triangle Park","US FDA","Aluminium hydroxide","Also for tetanus and pertussis.","Pain,redness and swelling at the injection site, increase in arm circumference,headache,fatigue and gastrointestinal symptoms.","NA","Single dose","NA","NA","NA","https://www.fda.gov/media/124002/download","dTPa","NA"
"1005","Infanrix","Bacteria","Diphtheria","Corynebacterium diphtheriae","Inactivated","DNA","6 weeks to 6 years","Diphtheria, tetanus toxoids, acellular pertussis vaccine adsorbed (DTaP vaccine).","GlaxoSmithKline Biologicals and GSK Vaccines GmbH","Belgium and Germany","1997","Approved","Gram-positive bacillus.","Levels of diphtheria antitoxin greater than or equal to 0.01 IU/mL were achieved in 100% of the sera tested.","Suspension for injection","0.5 ml injection with 5 dose series. One dose at 2,4 and 6 months. One booster dose at 15-20 months and another at 4-6 years.","Serum diphtheria antitoxin level of 0.1 IU/ml is protective.","Intramuscular","Prevents against diphtheria, tetanus and acellular pertussis.","Distributed by - GlaxoSmithKline","US FDA","Aluminium hydroxide","Also for tetanus and pertussis.","Pain, redness, swelling, fever, drowsiness, irritability and loss of appetite.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/75157/download","NA","NA"
"1006","Infanrix-IPV+Hib vaccine","Bacteria","Diphtheria","Corynebacterium diphtheriae","Conjugate","DNA","Over 2 months","Diphtheria, tetanus, pertussis (acellular component), poliomyelitis (inactivated) and Haemophilus influenzae type b (Hib) conjugate vaccine (adsorbed).","GlaxoSmithKline Biologicals S.A","Belgium","2005","Approved","Gram-positive bacillus.","NA","Powder and suspension for injection","Two or three injections, gap of 1 month.","NA","Intramuscular","For diphtheria, tetanus, pertussis, poliomyelitis and Haemophilus influenzae type b disease.","Marketing authorisation holder - SmithKline Beecham Ltd","Member States of the EEA","Aluminium hydroxide","For haemophilus influenzae type b, tetanus, pertussis and poliomyelitis.","Loss of appetite, high temperature, swelling, pain and redness, feeling restless, diarrhoea, hard lump, large swelling.","NA","Combination doses","NA","NA","NCT01309646","https://www.medicines.org.uk/emc/files/pil.5301.pdf","DTPa-IPV/Hib","https://www.medicines.org.uk/emc/medicine/28678#gref"
"1007","Infanrix/Hib","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","15 months and older","DTPa/Hib vaccine.","GlaxoSmithKline","Canada","2008","Approved","Gram-positive bacillus.","NA","NA","Single dose of Infanrix mixed with Hiberix.","NA","Intramuscular","NA","NA","NA","Aluminium hydroxide","For acellular pertussis, tetanus and Hib.","NA","NA","Single dose","NA","NA","NCT00696423","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=584&keywords=","NA","NA"
"1008","Infanrix-IPV","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","2 months to 6 years","DTaP-IPV vaccine.","GlaxoSmithKline","Canada","NA","Approved","Gram-positive bacillus.","99.5% demonstrated protective antibody titre of greater than 0.1 IU/mL against tetanus and diphtheria.","NA","Booster vaccine.","NA","Intramuscular","NA","NA","NA","Aluminium hydroxide","For diphtheria, tetanus, pertussis and polio.","Mild pain, redness, swelling, decreased appetite, vomiting, irritability, unusual crying and limb swelling.","NA","Single dose","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=588&keywords=","DTaP-IPV","https://www.immune.org.nz/vaccines/available-vaccines/infanrix-ipv"
"1009","Pentacel","Bacteria","Diphtheria","Corynebacterium diphtheriae","Inactivated","DNA","6 weeks to 4 years","Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus and Haemophilus b Conjugate (Tetanus Toxoid Conjugate) (DTaP vaccine).","Sanofi Pasteur Limited and Sanofi Pasteur SA","Canada and France","2008","Approved","Gram-positive bacillus.","NA","Liquid vaccine","Four dose at 2, 4, 6 and 15-18 months.","Serum diphtheria antitoxin level of 1 IU/ml provides long-term protection.","Intramuscular","The safety and effectiveness in infants less than 6 weeks and in children 5 to 16 years have not been established.","Distributed by- Sanofi Pasteur Inc. , USA","US FDA","Aluminium phosphate","For tetanus, pertussis, poliovirus and Haemophilus b.","Fussiness, inconsolable crying, fever, tenderness and increase in arm circumference.","NA","Combination doses","NA","NA","NCT00804284","https://www.fda.gov/media/74385/download","DTaP-IPV/Hib","NA"
"1010","Daptacel","Bacteria","Diphtheria","Corynebacterium diphtheriae","Inactivated","DNA","6 weeks to 6 years","Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed (DTaP vaccine).","Sanofi Pasteur Limited","Canada","2002","Approved","Gram-positive bacillus.","In Sweden II Efficacy Trial, 3 DTaP vaccines and a whole-cell pertussis DTP vaccine were evaluated.","Suspension for injection\n","Five doses of a 0.5 mL injection administered at 2, 4, 6 and 15-20 months of age, and at 4-6 years of age.","Serum diphtheria antitoxin level of 1 IU/ml provides long-term protection.","Intramuscular","Used to complete the immunization series in infants who have received 1 or more doses of whole-cell pertussis DTP.","Distributed by- 466 Sanofi Pasteur Inc., USA","US FDA","Aluminium phosphate","For tetanus and pertussis.","Fussiness, inconsolable crying, and decreased activity/lethargy, fever, tenderness, redness and increase in arm circumference.","NA","Combination doses","NA","NA","NCT00258895","https://www.fda.gov/media/74035/download","DTaP","NA"
"1011","Tdvax","Bacteria","Diphtheria","Corynebacterium diphtheriae","Toxoid","DNA","7 years and older","Tetanus and Diphtheria Toxoids Adsorbed (Td vaccine).","MassBiologics","United States","2018","Approved","Gram-positive bacillus.","50% had antitoxin concentrations of 0.01 or greater after 2 doses of Tdvax in primary series. In booster doses,  all achieved an antitoxin titer of 0.01 units/mL or higher.","Sterile vaccine","Primary Immunization -  Three 0.5 mL doses.\nRoutine Booster - in children 11-12 years of age and every 10 years.","Serum diphtheria antitoxin level of 0.01 IU/mL provides lowest level giving some degree of protection.","Intramuscular","Active immunization for the prevention of tetanus and diphtheria.","Distributed by Grifols USA","US FDA","Aluminium adjuvant","For tetanus also.","Pain, tenderness, erythema, induration, pruritis, swelling and warmth, peripheral oedema, pyrexia, malaise, dizziness, headache, convulsions, myalgia, musculoskeletal stiffness or pain, arthralgia, rash, nausea and Cellulitis.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/76430/download","Td","NA"
